ID,load,frequency,HR,FAR,Acc,Acc_bsl,K,K_bsl,K_bsl_ave,RT,RT_bsl,RT_CoV,gender,age,country,response_key,dPrime,criterion
15,6,4,0.666666666666667,0.133333333333333,0.766666666666667,-0.08,3.69230769230769,-0.0769230769230771,0.0931174089068824,0.8221385,-0.0829718545402517,0.274667275701095,Female,25,Germany,j,1.54149891593224,0.340022158670664
15,7,4,0.666666666666667,0.0666666666666667,0.8,0.142857142857143,4.5,0.607142857142857,0.332236842105263,0.931612833333333,0.150431169059969,0.3787303061368,Female,25,Germany,j,1.93181324533948,0.535179323374284
15,5,7,0.866666666666667,0,0.933333333333333,0.12,4.33333333333333,0.3,0.282894736842105,0.711494166666667,-0.162016892103441,0.317042920538003,Female,25,Germany,j,Inf,Inf
15,6,7,0.6,0,0.8,-0.04,3.6,-0.1,0.0657894736842104,0.684845833333333,-0.236110576907051,0.246495056584309,Female,25,Germany,j,Inf,Inf
15,7,7,0.533333333333333,0,0.766666666666667,0.0952380952380954,3.73333333333333,0.333333333333333,0.105263157894737,0.8024365,-0.00908625583404168,0.351755209783052,Female,25,Germany,j,Inf,Inf
16,5,0,0.8,0.133333333333333,0.766666666666667,0,3.84615384615385,-1.15463194561016e-16,0.329113924050633,0.782700535714286,0,0.249148952247866,Male,28,Italy,j,1.9523928502097,0.134575191531936
16,6,0,0.4,0.0666666666666667,0.666666666666667,0,2.14285714285714,0,-0.259493670886076,0.765405,0,0.198094123839054,Male,28,Italy,j,1.24773884290823,0.877216524589912
16,7,0,0.466666666666667,0.133333333333333,0.666666666666667,0,2.69230769230769,0,-0.069620253164557,0.882966,0,0.383223504728574,Male,28,Italy,j,1.02711988272966,0.597211675271957
16,5,4,0.733333333333333,0.133333333333333,0.8,0.0434782608695652,3.46153846153846,-0.1,0.19620253164557,0.751293833333333,-0.0401260775326936,0.211681783325108,Male,28,Italy,j,1.73369733984687,0.243922946713349
16,6,4,0.466666666666667,0.133333333333333,0.666666666666667,0,2.30769230769231,0.0769230769230771,-0.20253164556962,0.734192833333333,-0.0407786291788876,0.176668110407892,Male,28,Italy,j,1.02711988272966,0.597211675271957
