version,block,frequency,jitter,trial,change,response,RT,loads,ID,gender,hand,age,fixCrossFrameB,targetFrameB,fixCrossFrameA,targetFrameA,resp_type
ChD_entr_4,4,7,false,39,1,Wrong,0.943398464273607,6,S01,M,R,20,7,15,8,0,2
ChD_entr_4,4,7,false,40,1,Wrong,0.702763454675229,6,S01,M,R,20,8,1,7,14,2
ChD_entr_4,4,7,false,41,0,Correct,0.452502703359781,5,S01,M,R,20,4,12,11,3,4
ChD_entr_4,4,7,false,42,0,Wrong,0.924149711505452,4,S01,M,R,20,11,4,4,11,3
ChD_entr_4,5,4,true,1,0,Correct,0.606509792169239,5,S01,M,R,20,26,106,0,11,4
ChD_entr_4,5,4,true,2,1,Correct,0.423628550207463,5,S01,M,R,20,6,42,16,6,1
ChD_entr_4,5,4,true,3,0,Correct,0.616126659221409,6,S01,M,R,20,37,25,18,6,4
ChD_entr_4,5,4,true,4,1,Wrong,0.654636452755553,6,S01,M,R,20,23,18,50,21,2
ChD_entr_4,5,4,true,5,0,Correct,0.49101283822706,4,S01,M,R,20,6,27,6,24,4
ChD_entr_4,5,4,true,6,0,Correct,0.722013914109738,6,S01,M,R,20,46,79,26,6,4
ChD_entr_4,5,4,true,7,1,Wrong,0.741263349544616,5,S01,M,R,20,33,46,91,19,2
ChD_entr_4,5,4,true,8,0,Correct,0.471833034780662,4,S01,M,R,20,58,6,3,55,4
ChD_entr_4,5,4,true,9,1,Correct,0.568009214633583,6,S01,M,R,20,96,44,7,59,1
ChD_entr_4,5,4,true,10,1,Correct,0.596882685118951,6,S01,M,R,20,4,24,2,29,1
ChD_entr_4,5,4,true,11,1,Wrong,1.29954237447864,5,S01,M,R,20,18,15,17,34,2
ChD_entr_4,5,4,true,12,1,Correct,0.548757389865628,5,S01,M,R,20,18,49,1,24,1
ChD_entr_4,5,4,true,13,1,Wrong,0.722014255443099,6,S01,M,R,20,16,57,82,36,2
ChD_entr_4,5,4,true,14,0,Correct,0.664259463806867,6,S01,M,R,20,5,55,7,10,4
ChD_entr_4,5,4,true,15,1,Correct,0.568017065298626,5,S01,M,R,20,21,41,56,27,1
ChD_entr_4,5,4,true,16,1,Correct,0.645015148370593,6,S01,M,R,20,8,3,6,13,1
ChD_entr_4,5,4,true,17,1,Correct,0.54875773119899,4,S01,M,R,20,41,15,48,11,1
ChD_entr_4,5,4,true,18,0,Correct,1.24178724150904,4,S01,M,R,20,21,3,25,31,4
ChD_entr_4,5,4,true,19,0,Correct,0.38512524200537,5,S01,M,R,20,14,24,96,38,4
ChD_entr_4,5,4,true,20,1,Wrong,0.837518036050236,6,S01,M,R,20,35,16,1,8,2
ChD_entr_4,5,4,true,21,1,Correct,0.577644172348914,4,S01,M,R,20,18,5,2,22,1
ChD_entr_4,5,4,true,22,1,Correct,0.462128786410212,5,S01,M,R,20,15,34,2,0,1
ChD_entr_4,5,4,true,23,0,Correct,0.625763664936454,6,S01,M,R,20,35,7,46,17,4
ChD_entr_4,5,4,true,24,0,Correct,0.587259674067637,5,S01,M,R,20,40,25,0,12,4
ChD_entr_4,5,4,true,25,0,Correct,0.404379797439308,4,S01,M,R,20,22,11,1,30,4
ChD_entr_4,5,4,true,26,1,Correct,0.500629022612507,5,S01,M,R,20,4,44,29,2,1
ChD_entr_4,5,4,true,27,0,Correct,0.539137450814114,5,S01,M,R,20,15,63,116,37,4
ChD_entr_4,5,4,true,28,0,Correct,0.414006563156234,5,S01,M,R,20,56,4,3,55,4
ChD_entr_4,5,4,true,29,1,Correct,0.539132672147962,4,S01,M,R,20,43,6,7,7,1
ChD_entr_4,5,4,true,30,0,Correct,0.510257494996241,4,S01,M,R,20,12,1,28,0,4
ChD_entr_4,5,4,true,31,0,Correct,0.616137923219158,5,S01,M,R,20,1,11,3,24,4
ChD_entr_4,5,4,true,32,1,Correct,0.799015751848227,4,S01,M,R,20,32,4,36,20,1
ChD_entr_4,5,4,true,33,0,Correct,0.577633932350341,6,S01,M,R,20,37,12,27,13,4
ChD_entr_4,5,4,true,34,0,Correct,0.558382790249564,4,S01,M,R,20,10,43,8,4,4
ChD_entr_4,5,4,true,35,0,Correct,0.529507271764027,5,S01,M,R,20,15,30,27,37,4
ChD_entr_4,5,4,true,36,0,Correct,0.635387358654036,6,S01,M,R,20,5,8,9,29,4
ChD_entr_4,5,4,true,37,0,Correct,0.42362786754074,4,S01,M,R,20,88,36,3,55,4
ChD_entr_4,5,4,true,38,1,Wrong,0.404429632097365,4,S01,M,R,20,67,15,31,83,2
ChD_entr_4,5,4,true,39,0,Correct,0.770151497361348,6,S01,M,R,20,4,2,19,0,4
ChD_entr_4,5,4,true,40,1,Correct,0.500631753278944,4,S01,M,R,20,16,41,0,10,1
ChD_entr_4,5,4,true,41,1,Wrong,0.596885074451573,6,S01,M,R,20,17,60,33,35,2
ChD_entr_4,5,4,true,42,1,Wrong,0.750890456594905,4,S01,M,R,20,5,6,52,9,2
ChD_entr_4,6,4,false,1,0,Correct,0.471753845460786,5,S01,M,R,20,26,26,0,0,4
ChD_entr_4,6,4,false,2,1,Correct,0.606508085502886,4,S01,M,R,20,2,2,24,24,1
ChD_entr_4,6,4,false,3,0,Correct,0.404377408106232,4,S01,M,R,20,16,16,10,10,4
ChD_entr_4,6,4,false,4,1,Wrong,0.827894000999747,4,S01,M,R,20,25,25,1,1,2
ChD_entr_4,6,4,false,5,0,Correct,0.99152375952693,5,S01,M,R,20,16,16,10,10,4
ChD_entr_4,6,4,false,6,1,Correct,0.51992999937225,4,S01,M,R,20,16,16,10,10,1
ChD_entr_4,6,4,false,7,1,Wrong,0.6739664428433,5,S01,M,R,20,13,13,13,13,2
ChD_entr_4,6,4,false,8,1,Correct,0.433306174582532,6,S01,M,R,20,20,20,6,6,1
ChD_entr_4,6,4,false,9,1,Correct,0.491002939562303,5,S01,M,R,20,26,26,0,0,1
ChD_entr_4,6,4,false,10,0,Correct,0.67388554685707,5,S01,M,R,20,26,26,0,0,4
ChD_entr_4,6,4,false,11,0,Correct,0.53913130681497,4,S01,M,R,20,7,7,19,19,4
ChD_entr_4,6,4,false,12,1,Correct,0.596888146450917,5,S01,M,R,20,2,2,24,24,1
ChD_entr_4,6,4,false,13,1,Correct,0.577633249684072,5,S01,M,R,20,17,17,9,9,1
ChD_entr_4,6,4,false,14,0,Correct,0.558380742249849,4,S01,M,R,20,8,8,18,18,4
ChD_entr_4,6,4,false,15,0,Correct,0.616216429872766,6,S01,M,R,20,1,1,25,25,4
ChD_entr_4,6,4,false,16,0,Correct,0.41400349115689,5,S01,M,R,20,14,14,12,12,4
ChD_entr_4,6,4,false,17,0,Correct,0.452532740687642,5,S01,M,R,20,22,22,4,4,4
ChD_entr_4,6,4,false,18,1,Wrong,1.26103565294384,6,S01,M,R,20,26,26,0,0,2
ChD_entr_4,6,4,false,19,1,Correct,0.375502913620779,4,S01,M,R,20,24,24,2,2,1
ChD_entr_4,6,4,false,20,0,Correct,0.49100328089521,6,S01,M,R,20,10,10,16,16,4
ChD_entr_4,6,4,false,21,0,Correct,0.46213254107628,4,S01,M,R,20,10,10,16,16,4
ChD_entr_4,6,4,false,22,0,Correct,0.375499500288073,5,S01,M,R,20,13,13,13,13,4
ChD_entr_4,6,4,false,23,0,Correct,0.779767340413433,5,S01,M,R,20,25,25,1,1,4
ChD_entr_4,6,4,false,24,1,Correct,0.375499841621435,6,S01,M,R,20,21,21,5,5,1
ChD_entr_4,6,4,false,25,1,Wrong,0.471752138794433,6,S01,M,R,20,7,7,19,19,2
ChD_entr_4,6,4,false,26,1,Wrong,0.423678726198882,5,S01,M,R,20,9,9,17,17,2
ChD_entr_4,6,4,false,27,0,Correct,0.51025510566362,6,S01,M,R,20,16,16,10,10,4
